Nr.,Sursa,Nume Document,Link Download,Pagina Gasita
1,Inspectoratul de Stat in Constructii (ISC),PAAP   DECEMBRIE 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP - DECEMBRIE 2025.pdf,https://isc.gov.ro/program_achizitii.html
2,Inspectoratul de Stat in Constructii (ISC),PAAP Octombrie 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP Octombrie 2025.pdf,https://isc.gov.ro/program_achizitii.html
3,Inspectoratul de Stat in Constructii (ISC),PAAP Septembrie 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP Septembrie 2025.pdf,https://isc.gov.ro/program_achizitii.html
4,Inspectoratul de Stat in Constructii (ISC),PAAP   AUGUST 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP - AUGUST 2025.pdf,https://isc.gov.ro/program_achizitii.html
5,Inspectoratul de Stat in Constructii (ISC),PAAP   IUNIE 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP - IUNIE 2025.pdf,https://isc.gov.ro/program_achizitii.html
6,Inspectoratul de Stat in Constructii (ISC),PAAP   MAI 2025   Rev 1,https://isc.gov.ro/files/2025/Achizitii/PAAP - MAI 2025 - Rev 1.pdf,https://isc.gov.ro/program_achizitii.html
7,Inspectoratul de Stat in Constructii (ISC),PAAP   MAI 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP - MAI 2025.pdf,https://isc.gov.ro/program_achizitii.html
8,Inspectoratul de Stat in Constructii (ISC),PAAP  APRILIE 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP -APRILIE 2025.pdf,https://isc.gov.ro/program_achizitii.html
9,Inspectoratul de Stat in Constructii (ISC),PAAP   MARTIE 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP - MARTIE 2025.pdf,https://isc.gov.ro/program_achizitii.html
10,Inspectoratul de Stat in Constructii (ISC),PAAP   Proiect 2025 Revizuit 1,https://isc.gov.ro/files/2025/Achizitii/PAAP - Proiect 2025_Revizuit 1.pdf,https://isc.gov.ro/program_achizitii.html
11,Inspectoratul de Stat in Constructii (ISC),PAAP Proiect 2025,https://isc.gov.ro/files/2025/Achizitii/PAAP Proiect 2025.pdf,https://isc.gov.ro/program_achizitii.html
12,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/12/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V12.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
13,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/12/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V11.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
14,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/11/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V10.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
15,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/10/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V9.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
16,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/09/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V8.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
17,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/07/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
18,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/07/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V6.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
19,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/07/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V5.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
20,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/07/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V4.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
21,Ministerul Afacerilor Interne (MAI),descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/05/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V3.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
22,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/05/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V2.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
23,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2025/04/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V1.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
24,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2024/12/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V19.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
25,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2024/12/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V18.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
26,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2024/10/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V17.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
27,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2024/09/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V16.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
28,Ministerul Afacerilor Interne (MAI),( descarcă fișier în format „pdf” ),https://www.mai.gov.ro/wp-content/uploads/2024/07/PAAP_Programul-Anual-al-Achizitiilor-Publice-pentru-Aparatul-Central-al-M.A.I._V14.pdf,https://www.mai.gov.ro/informatii-publice/achizitii-publice/
